機關資料,,,,,,,,,,,,,,,
機關代碼,3.15.83,,,,,,,,,,,,,,
機關名稱,中華郵政股份有限公司,,,,,,,,,,,,,,
單位名稱,勞工安全衛生處,,,,,,,,,,,,,,
機關地址,"106
				
				
				臺北市
				大安區
				金山南路2段55號",,,,,,,,,,,,,,
聯絡人,吳婉妤,,,,,,,,,,,,,,
聯絡電話,"(02)
				
				
					23921310
				
				
					#2385",,,,,,,,,,,,,,
傳真號碼,"(02)
				
				
					23969290",,,,,,,,,,,,,,
電子郵件信箱,wanyu11003@mail.post.gov.tw,,,,,,,,,,,,,,
採購資料,,,,,,,,,,,,,,,
標案案號,113-4-3005,,,,,,,,,,,,,,
標案名稱,行動郵局APP影音創作暨AI行銷科技競賽活動,,,,,,,,,,,,,,
標的分類,勞務類97 - 其他服務,,,,,,,,,,,,,,
財物採購性質,非屬財物之工程或勞務,,,,,,,,,,,,,,
採購金額級距,公告金額以上未達查核金額,,,,,,,,,,,,,,
辦理方式,自辦,,,,,,,,,,,,,,
依據法條,採購法第22條第1項第9款,,,,,,,,,,,,,,
是否適用條約或協定之採購,是否適用WTO政府採購協定(GPA)：否WTO政府採購協定排除理由：38.我國GPA開放清單未開放之服務項目。是否適用臺紐經濟合作協定(ANZTEC)：否臺紐經濟合作協定排除理由：38.我國ANZTEC開放清單未開放之服務項目。是否適用臺星經濟夥伴協定(ASTEP)：否臺星經濟夥伴協定排除理由：38.我國ASTEP開放清單未開放之服務項目。,,,,,,,,,,,,,,
本採購是否屬「具敏感性或國安(含資安)疑慮之業務範疇」採購,否,,,,,,,,,,,,,,
本採購是否屬「涉及國家安全」採購,否,,,,,,,,,,,,,,
預算金額,"5,500,000元",,,,,,,,,,,,,,
預算金額是否公開,是,,,,,,,,,,,,,,
後續擴充,否,,,,,,,,,,,,,,
是否受機關補助,否,,,,,,,,,,,,,,
是否為政策及業務宣導業務,否,,,,,,,,,,,,,,
招標資料,,,,,,,,,,,,,,,
招標方式,經公開評選或公開徵求之限制性招標,,,,,,,,,,,,,,
決標方式,準用最有利標採購評選委員名單,準用最有利標,採購評選委員名單,,,,,,,,,,,,
準用最有利標,採購評選委員名單,,,,,,,,,,,,,,
新增公告傳輸次數,01,,,,,,,,,,,,,,
招標狀態,第一次限制性招標,,,,,,,,,,,,,,
公告日,113/04/16,,,,,,,,,,,,,,
是否複數決標,否,,,,,,,,,,,,,,
是否訂有底價,是,,,,,,,,,,,,,,
價格是否納入評選,是,,,,,,,,,,,,,,
所占配分或權重是否為20%以上,是,,,,,,,,,,,,,,
是否屬特殊採購,否,,,,,,,,,,,,,,
是否已辦理公開閱覽,否,,,,,,,,,,,,,,
是否屬統包,否,,,,,,,,,,,,,,
本案完成後所應達到之功能、效益、標準、品質或特性,,,,,,,,,,,,,,,
是否屬共同供應契約採購,否,,,,,,,,,,,,,,
是否屬二以上機關之聯合採購(不適用共同供應契約規定),否,,,,,,,,,,,,,,
是否應依公共工程專業技師簽證規則實施技師簽證,否,,,,,,,,,,,,,,
是否採行協商措施,否,,,,,,,,,,,,,,
是否適用採購法第104條或105條或招標期限標準第10條或第4條之1,否,,,,,,,,,,,,,,
是否依據採購法第106條第1項第1款辦理,否,,,,,,,,,,,,,,
準用最有利標,採購評選委員名單,,,,,,,,,,,,,,
領投開標,,,,,,,,,,,,,,,
是否提供電子領標,是機關文件費(機關實收)50元系統使用費20元文件代收費3元總計73元機關文件費指定收款機關單位：中華郵政股份有限公司是否提供現場領標：是招標文件領取地點106臺北市大安區金山南路2段55號301室招標文件售價及付款方式新臺幣100元。請先至本公司出納科(106403臺北市大安區愛國東路216號912室)繳交現金或至郵局劃撥(戶名：中華郵政股份有限公司；帳號：0004200-1)，取據後至本公司招標文件領取地點領標。投標須知下載,,,,,,,,,,,,,,
是否提供電子投標,否,,,,,,,,,,,,,,
截止投標,113/05/02 17:00,,,,,,,,,,,,,,
開標時間,113/05/03 10:00,,,,,,,,,,,,,,
開標地點,106臺北市大安區金山南路2段55號305室,,,,,,,,,,,,,,
是否須繳納押標金,否,,,,,,,,,,,,,,
是否須繳納履約保證金,"是須繳納履約保證金之必要理由：
								保障本公司權益",,,,,,,,,,,,,,
投標文字,正體中文,,,,,,,,,,,,,,
收受投標文件地點,106臺北市大安區金山南路2段55號301室,,,,,,,,,,,,,,
其他,,,,,,,,,,,,,,,
是否依據採購法第99條,否,,,,,,,,,,,,,,
身心障礙福利機構團體或庇護工場生產物品及服務,項目 :分類 :,,,,,,,,,,,,,,
履約地點,臺北市(非原住民地區),,,,,,,,,,,,,,
履約期限,一、 本案履約期限自決標次日起至期末-專案總結報告書(交付項目及時程表第六項次)交付完成,,,,,,,,,,,,,,
是否刊登公報,是,,,,,,,,,,,,,,
本案採購契約是否採用主管機關訂定之範本,否不採用主管機關訂定之範本之理由：本公司另訂有勞務採購契約範本，其要項及內容係參照主管機關訂定之範本擬訂。,,,,,,,,,,,,,,
契約是否訂有依物價指數調整價金規定,否，招標文件未訂物價指數調整條款履約時間短,,,,,,,,,,,,,,
廠商資格摘要,廠商登記或設立之證明投標廠商之基本資格須符合以下任一資格：具公司登記具商業登記廠商納稅之證明。如營業稅或所得稅除上述外之其他資格投標廠商聲明書。,,,,,,,,,,,,,,
是否訂有與履約能力有關之基本資格,是廠商應附具之基本資格證明文件或物品：【須於招標文件載明者為限】資格項目附加說明廠商信用之證明如票據交換機構或受理查詢之金融機構於截止投標日之前半年內所出具之非拒絕往來戶及最近3年內無退票紀錄證明、會計師簽證之財務報表或金融機構或徵信機構出具之信用證明等。由票據交換所或受理查詢金融機構出具之票據信用查覆單，應加蓋查覆單位圖章，始可作為證明之文件(如利用政府採購網線上申請下載之票據信用資料，得免查覆單位圖章)。如有退票但已辦妥清償註記者，視同無退票紀錄。其他法令規定或經主管機關認定者投標廠商如為本公司依採購法第101條第1項規定通知後，於程序進行中，尚未依採購法第102條第3項規定刊登政府採購公報之廠商，不得參加投標或作為決標對象。廠商具有製造、供應或承做能力之證明廠商具有如期履約能力之證明廠商或其受雇人、從業人員具有專門技能之證明廠商具有維修、維護或售後服務能力之證明,資格項目,附加說明,廠商信用之證明,如票據交換機構或受理查詢之金融機構於截止投標日之前半年內所出具之非拒絕往來戶及最近3年內無退票紀錄證明、會計師簽證之財務報表或金融機構或徵信機構出具之信用證明等。由票據交換所或受理查詢金融機構出具之票據信用查覆單，應加蓋查覆單位圖章，始可作為證明之文件(如利用政府採購網線上申請下載之票據信用資料，得免查覆單位圖章)。如有退票但已辦妥清償註記者，視同無退票紀錄。,其他法令規定或經主管機關認定者,投標廠商如為本公司依採購法第101條第1項規定通知後，於程序進行中，尚未依採購法第102條第3項規定刊登政府採購公報之廠商，不得參加投標或作為決標對象。,廠商具有製造、供應或承做能力之證明,,廠商具有如期履約能力之證明,,廠商或其受雇人、從業人員具有專門技能之證明,,廠商具有維修、維護或售後服務能力之證明,
資格項目,附加說明,,,,,,,,,,,,,,
廠商信用之證明,如票據交換機構或受理查詢之金融機構於截止投標日之前半年內所出具之非拒絕往來戶及最近3年內無退票紀錄證明、會計師簽證之財務報表或金融機構或徵信機構出具之信用證明等。由票據交換所或受理查詢金融機構出具之票據信用查覆單，應加蓋查覆單位圖章，始可作為證明之文件(如利用政府採購網線上申請下載之票據信用資料，得免查覆單位圖章)。如有退票但已辦妥清償註記者，視同無退票紀錄。,,,,,,,,,,,,,,
