機關資料,,,,,,,,,
機關代碼,77119224,,,,,,,,
機關名稱,建國科技大學,,,,,,,,
單位名稱,電子系,,,,,,,,
機關地址,"500
				
				
				彰化縣
				彰化市
				介壽北路1號",,,,,,,,
聯絡人,梁渼筠,,,,,,,,
聯絡電話,"(04)
				
				
					7111111
				
				
					#1508",,,,,,,,
傳真號碼,"(04)
				
				
					7111170",,,,,,,,
電子郵件信箱,yun@ctu.edu.tw,,,,,,,,
採購資料,,,,,,,,,
標案案號,ctu113004,,,,,,,,
標案名稱,AI腦波量測主機等設備,,,,,,,,
標的分類,財物類449 - 其他特殊用途之機具及其零件,,,,,,,,
財物採購性質,"買受,定製",,,,,,,,
採購金額級距,未達公告金額,,,,,,,,
法人團體辦理適用採購法案件之依據法條,採購法第4條,,,,,,,,
辦理方式,補助,,,,,,,,
依據法條,採購法第49條,,,,,,,,
本採購是否屬「具敏感性或國安(含資安)疑慮之業務範疇」採購,否,,,,,,,,
本採購是否屬「涉及國家安全」採購,否,,,,,,,,
預算金額,"1,422,000元",,,,,,,,
預算金額是否公開,是,,,,,,,,
後續擴充,否,,,,,,,,
是否受機關補助,"是補助機關3.9教育部補助金額1,422,000元",,,,,,,,
是否為政策及業務宣導業務,否,,,,,,,,
招標資料,,,,,,,,,
招標方式,公開取得報價單或企劃書,,,,,,,,
決標方式,最低標,最低標,,,,,,,
最低標,,,,,,,,,
是否依政府採購法施行細則第64條之2辦理,否,,,,,,,,
是否電子報價,否,,,,,,,,
新增公告傳輸次數,01,,,,,,,,
招標狀態,第一次公開取得,,,,,,,,
公告日,113/04/10,,,,,,,,
是否複數決標,否,,,,,,,,
是否訂有底價,是,,,,,,,,
是否屬特殊採購,否,,,,,,,,
是否已辦理公開閱覽,否,,,,,,,,
是否屬統包,否,,,,,,,,
本案完成後所應達到之功能、效益、標準、品質或特性,,,,,,,,,
是否屬共同供應契約採購,否,,,,,,,,
是否屬二以上機關之聯合採購(不適用共同供應契約規定),否,,,,,,,,
是否應依公共工程專業技師簽證規則實施技師簽證,否,,,,,,,,
是否採行協商措施,否,,,,,,,,
是否適用採購法第104條或105條或招標期限標準第10條或第4條之1,否,,,,,,,,
是否依據採購法第106條第1項第1款辦理,否,,,,,,,,
最低標,,,,,,,,,
領投開標,,,,,,,,,
是否提供電子領標,否原因周邊設備條件不足招標文件領取地點500彰化縣彰化市介壽北路1號招標文件售價及付款方式0,,,,,,,,
是否提供電子投標,否,,,,,,,,
截止投標,113/04/15 17:00,,,,,,,,
開標時間,,,,,,,,,
開標地點,,,,,,,,,
是否須繳納押標金,否,,,,,,,,
投標文字,正體中文,,,,,,,,
收受投標文件地點,500彰化縣彰化市介壽北路1號,,,,,,,,
其他,,,,,,,,,
是否依據採購法第99條,否,,,,,,,,
身心障礙福利機構團體或庇護工場生產物品及服務,項目 :分類 :,,,,,,,,
履約地點,彰化縣(非原住民地區),,,,,,,,
履約期限,決標日起90天內完成交貨及安裝測試,,,,,,,,
是否刊登公報,否,,,,,,,,
本案採購契約是否採用主管機關訂定之範本,是,,,,,,,,
契約是否訂有依物價指數調整價金規定,否，招標文件未訂物價指數調整條款無預算,,,,,,,,
廠商資格摘要,廠商登記或設立之證明投標廠商之基本資格須符合以下任一資格：具公司登記具商業登記廠商納稅之證明。如營業稅或所得稅,,,,,,,,
是否訂有與履約能力有關之基本資格,否,,,,,,,,
附加說明,"未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。非採購資訊公告系統列為拒絕往來廠商。 
[公開取得文件領取方式及處所]：通訊領標，請先傳真：註明公司名稱、營業項目、電話、傳真、聯絡人及註明欲領標之購案名稱；本校傳真電話：04-7111170。亦可至本校總務處事務組領標。 
[收受報價單或企畫書方式及地點]：郵寄或親送總務處事務組。 
[開標地點]：總務處事務組，報價結果最低一家優先通知來校議價。",未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。,"非採購資訊公告系統列為拒絕往來廠商。 
[公開取得文件領取方式及處所]：通訊領標，請先傳真：註明公司名稱、營業項目、電話、傳真、聯絡人及註明欲領標之購案名稱；本校傳真電話：04-7111170。亦可至本校總務處事務組領標。 
[收受報價單或企畫書方式及地點]：郵寄或親送總務處事務組。 
[開標地點]：總務處事務組，報價結果最低一家優先通知來校議價。",,,,,,
未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。,,,,,,,,,
"非採購資訊公告系統列為拒絕往來廠商。 
[公開取得文件領取方式及處所]：通訊領標，請先傳真：註明公司名稱、營業項目、電話、傳真、聯絡人及註明欲領標之購案名稱；本校傳真電話：04-7111170。亦可至本校總務處事務組領標。 
[收受報價單或企畫書方式及地點]：郵寄或親送總務處事務組。 
[開標地點]：總務處事務組，報價結果最低一家優先通知來校議價。",,,,,,,,,
是否刊登英文公告,否,,,,,,,,
疑義、異議、申訴及檢舉受理單位,"疑義、異議受理單位建國科技大學申訴受理單位臺北市政府採購申訴審議委員會-(地址：110臺北市信義區市府路1號9樓東北區、電話：02-27208889分機1059、傳真：02-27596695)檢舉受理單位部會署-教育部採購稽核小組-(地址：100臺北市中正區中山南路5號、電話：02-77365529 、傳真：02-23583005 )
彰化縣調查站-(地址：500彰化縣彰化市卦山路12號;彰化郵政60000號信箱、電話：04-7248888)
法務部調查局-(地址：231新北市新店區中華路74號;新店郵政60000號信箱、電話：02-29177777、傳真：02-29188888)
中央採購稽核小組-(地址：110臺北市信義區松仁路3號9樓、電話：02-87897548、傳真：02-87897554)
法務部廉政署-(地址：100臺北市中正區博愛路166號;100006國史館郵局第153號信箱、電話：0800286586、傳真：02-23811234)",疑義、異議受理單位,建國科技大學,,申訴受理單位,臺北市政府採購申訴審議委員會-(地址：110臺北市信義區市府路1號9樓東北區、電話：02-27208889分機1059、傳真：02-27596695),,檢舉受理單位,"部會署-教育部採購稽核小組-(地址：100臺北市中正區中山南路5號、電話：02-77365529 、傳真：02-23583005 )
彰化縣調查站-(地址：500彰化縣彰化市卦山路12號;彰化郵政60000號信箱、電話：04-7248888)
法務部調查局-(地址：231新北市新店區中華路74號;新店郵政60000號信箱、電話：02-29177777、傳真：02-29188888)
中央採購稽核小組-(地址：110臺北市信義區松仁路3號9樓、電話：02-87897548、傳真：02-87897554)
法務部廉政署-(地址：100臺北市中正區博愛路166號;100006國史館郵局第153號信箱、電話：0800286586、傳真：02-23811234)"
疑義、異議受理單位,建國科技大學,,,,,,,,
,,,,,,,,,
申訴受理單位,臺北市政府採購申訴審議委員會-(地址：110臺北市信義區市府路1號9樓東北區、電話：02-27208889分機1059、傳真：02-27596695),,,,,,,,
,,,,,,,,,
檢舉受理單位,"部會署-教育部採購稽核小組-(地址：100臺北市中正區中山南路5號、電話：02-77365529 、傳真：02-23583005 )
彰化縣調查站-(地址：500彰化縣彰化市卦山路12號;彰化郵政60000號信箱、電話：04-7248888)
法務部調查局-(地址：231新北市新店區中華路74號;新店郵政60000號信箱、電話：02-29177777、傳真：02-29188888)
中央採購稽核小組-(地址：110臺北市信義區松仁路3號9樓、電話：02-87897548、傳真：02-87897554)
法務部廉政署-(地址：100臺北市中正區博愛路166號;100006國史館郵局第153號信箱、電話：0800286586、傳真：02-23811234)",,,,,,,,
未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。,,,,,,,,,
"非採購資訊公告系統列為拒絕往來廠商。 
[公開取得文件領取方式及處所]：通訊領標，請先傳真：註明公司名稱、營業項目、電話、傳真、聯絡人及註明欲領標之購案名稱；本校傳真電話：04-7111170。亦可至本校總務處事務組領標。 
[收受報價單或企畫書方式及地點]：郵寄或親送總務處事務組。 
[開標地點]：總務處事務組，報價結果最低一家優先通知來校議價。",,,,,,,,,
疑義、異議受理單位,建國科技大學,,,,,,,,
,,,,,,,,,
申訴受理單位,臺北市政府採購申訴審議委員會-(地址：110臺北市信義區市府路1號9樓東北區、電話：02-27208889分機1059、傳真：02-27596695),,,,,,,,
,,,,,,,,,
檢舉受理單位,"部會署-教育部採購稽核小組-(地址：100臺北市中正區中山南路5號、電話：02-77365529 、傳真：02-23583005 )
彰化縣調查站-(地址：500彰化縣彰化市卦山路12號;彰化郵政60000號信箱、電話：04-7248888)
法務部調查局-(地址：231新北市新店區中華路74號;新店郵政60000號信箱、電話：02-29177777、傳真：02-29188888)
中央採購稽核小組-(地址：110臺北市信義區松仁路3號9樓、電話：02-87897548、傳真：02-87897554)
法務部廉政署-(地址：100臺北市中正區博愛路166號;100006國史館郵局第153號信箱、電話：0800286586、傳真：02-23811234)",,,,,,,,
