機關資料,,,,,,,,,,,,,,,
機關代碼,3.87.15,,,,,,,,,,,,,,
機關名稱,臺中市政府環境保護局,,,,,,,,,,,,,,
單位名稱,水質及土壤保護科,,,,,,,,,,,,,,
機關地址,"407
				
				
				臺中市
				西屯區
				文心路二段588號",,,,,,,,,,,,,,
聯絡人,吳婉維,,,,,,,,,,,,,,
聯絡電話,"(04)
				
				
					22289111
				
				
					#66317",,,,,,,,,,,,,,
傳真號碼,"(04)
				
				
					23277815",,,,,,,,,,,,,,
電子郵件信箱,a61438@taichung.gov.tw,,,,,,,,,,,,,,
採購資料,,,,,,,,,,,,,,,
標案案號,P1130506043,,,,,,,,,,,,,,
標案名稱,113年臺中市水質科技執法暨低碳AI管制計畫,,,,,,,,,,,,,,
標的分類,勞務類94 - 污水及垃圾處理、公共衛生及其他環保服務,,,,,,,,,,,,,,
財物採購性質,非屬財物之工程或勞務,,,,,,,,,,,,,,
採購金額級距,查核金額以上未達巨額,,,,,,,,,,,,,,
辦理方式,自辦,,,,,,,,,,,,,,
依據法條,採購法第22條第1項第9款,,,,,,,,,,,,,,
是否適用條約或協定之採購,是否適用WTO政府採購協定(GPA)：否是否適用臺紐經濟合作協定(ANZTEC)：否是否適用臺星經濟夥伴協定(ASTEP)：是,,,,,,,,,,,,,,
是否採用電子競價,否,,,,,,,,,,,,,,
是否為商業財物或服務,否,,,,,,,,,,,,,,
本採購是否屬「具敏感性或國安(含資安)疑慮之業務範疇」採購,否,,,,,,,,,,,,,,
本採購是否屬「涉及國家安全」採購,否,,,,,,,,,,,,,,
預算金額,"18,875,000元",,,,,,,,,,,,,,
預算金額是否公開,是,,,,,,,,,,,,,,
後續擴充,否,,,,,,,,,,,,,,
是否受機關補助,否,,,,,,,,,,,,,,
是否為政策及業務宣導業務,否,,,,,,,,,,,,,,
招標資料,,,,,,,,,,,,,,,
招標方式,經公開評選或公開徵求之限制性招標,,,,,,,,,,,,,,
決標方式,準用最有利標採購評選委員名單,準用最有利標,採購評選委員名單,,,,,,,,,,,,
準用最有利標,採購評選委員名單,,,,,,,,,,,,,,
新增公告傳輸次數,01,,,,,,,,,,,,,,
招標狀態,第一次限制性招標,,,,,,,,,,,,,,
公告日,113/05/07,,,,,,,,,,,,,,
是否複數決標,否,,,,,,,,,,,,,,
是否訂有底價,是,,,,,,,,,,,,,,
價格是否納入評選,是,,,,,,,,,,,,,,
所占配分或權重是否為20%以上,是,,,,,,,,,,,,,,
是否屬特殊採購,否,,,,,,,,,,,,,,
是否已辦理公開閱覽,否,,,,,,,,,,,,,,
是否屬統包,否,,,,,,,,,,,,,,
本案完成後所應達到之功能、效益、標準、品質或特性,,,,,,,,,,,,,,,
是否屬共同供應契約採購,否,,,,,,,,,,,,,,
是否屬二以上機關之聯合採購(不適用共同供應契約規定),否,,,,,,,,,,,,,,
是否應依公共工程專業技師簽證規則實施技師簽證,否,,,,,,,,,,,,,,
是否採行協商措施,否,,,,,,,,,,,,,,
是否適用採購法第104條或105條或招標期限標準第10條或第4條之1,否,,,,,,,,,,,,,,
是否依據採購法第106條第1項第1款辦理,否,,,,,,,,,,,,,,
準用最有利標,採購評選委員名單,,,,,,,,,,,,,,
領投開標,,,,,,,,,,,,,,,
是否提供電子領標,是機關文件費(機關實收)0元系統使用費20元文件代收費0元總計20元是否提供現場領標：否投標須知下載,,,,,,,,,,,,,,
是否提供電子投標,否,,,,,,,,,,,,,,
截止投標,113/06/06 09:00,,,,,,,,,,,,,,
開標時間,113/06/06 10:30,,,,,,,,,,,,,,
開標地點,407臺中市西屯區文心路二段588號(地下一樓)本局開標室,,,,,,,,,,,,,,
是否須繳納押標金,否,,,,,,,,,,,,,,
是否須繳納履約保證金,"是須繳納履約保證金之必要理由：
								因案件屬性需要",,,,,,,,,,,,,,
投標文字,正體中文或英文,,,,,,,,,,,,,,
收受投標文件地點,407臺中市西屯區文心路二段588號(一樓)本局收發,,,,,,,,,,,,,,
其他,,,,,,,,,,,,,,,
是否依據採購法第99條,否,,,,,,,,,,,,,,
