機關資料,,,,,,,,,,,,,,,
機關代碼,3.76.57.97.7,,,,,,,,,,,,,,
機關名稱,基隆市信義區東信國民小學,,,,,,,,,,,,,,
單位名稱,基隆市信義區東信國民小學,,,,,,,,,,,,,,
機關地址,"201
				
				
				基隆市
				信義區
				正信路26號",,,,,,,,,,,,,,
聯絡人,馬千玉,,,,,,,,,,,,,,
聯絡電話,"(02)
				
				
					24652133
				
				
					#30",,,,,,,,,,,,,,
傳真號碼,"(02)
				
				
					24662636",,,,,,,,,,,,,,
電子郵件信箱,ab0008@gm.kl.edu.tw,,,,,,,,,,,,,,
採購資料,,,,,,,,,,,,,,,
標案案號,113DS002,,,,,,,,,,,,,,
標案名稱,全校AI監控系統,,,,,,,,,,,,,,
標的分類,"財物類47 - 收音機、電視, 通訊器材及儀器",,,,,,,,,,,,,,
財物採購性質,"買受,定製",,,,,,,,,,,,,,
採購金額級距,公告金額以上未達查核金額,,,,,,,,,,,,,,
辦理方式,自辦,,,,,,,,,,,,,,
依據法條,採購法第18條、第19條,,,,,,,,,,,,,,
是否適用條約或協定之採購,是否適用WTO政府採購協定(GPA)：否是否適用臺紐經濟合作協定(ANZTEC)：否是否適用臺星經濟夥伴協定(ASTEP)：否,,,,,,,,,,,,,,
本採購是否屬「具敏感性或國安(含資安)疑慮之業務範疇」採購,否,,,,,,,,,,,,,,
本採購是否屬「涉及國家安全」採購,否,,,,,,,,,,,,,,
預算金額,"2,106,002元",,,,,,,,,,,,,,
預算金額是否公開,是,,,,,,,,,,,,,,
預計金額,"2,106,002元",,,,,,,,,,,,,,
預計金額是否公開,是,,,,,,,,,,,,,,
後續擴充,否,,,,,,,,,,,,,,
是否受機關補助,"是補助機關3.76.57基隆市政府補助金額2,106,002元",,,,,,,,,,,,,,
是否為政策及業務宣導業務,否,,,,,,,,,,,,,,
招標資料,,,,,,,,,,,,,,,
招標方式,公開招標,,,,,,,,,,,,,,
決標方式,最有利標採購評選委員名單,最有利標,採購評選委員名單,,,,,,,,,,,,
最有利標,採購評選委員名單,,,,,,,,,,,,,,
新增公告傳輸次數,01,,,,,,,,,,,,,,
招標狀態,第一次公開招標,,,,,,,,,,,,,,
公告日,113/04/10,,,,,,,,,,,,,,
是否複數決標,否,,,,,,,,,,,,,,
是否訂有底價,是,,,,,,,,,,,,,,
價格是否納入評選,是,,,,,,,,,,,,,,
所占配分或權重是否為20%以上,否,,,,,,,,,,,,,,
是否於招標文件載明固定費用或費率，而僅評選組成該費用或費率之內容(最有利標評選辦法第9條第2項),是,,,,,,,,,,,,,,
